data1,data2,data4
9.8705708306,9.9105593894,8.8783203701
10.0131579759,10.0090926752,9.0367537442
9.8337534707,9.8851171558,8.8374113628
10.2616236837,10.1807921826,9.3128323513
10.0388319281,10.0268343788,9.0652809363
9.8364218589,9.8869611163,8.8403762987
10.0666280326,10.0460425725,9.0961661231
10.1107887799,10.0765593735,9.1452346151
10.0821791333,10.0567889904,9.1134454743
9.9270823281,9.9496110411,8.9411121961
10.2469267124,10.1706360015,9.296502052
10.0494517184,10.0341730686,9.0770809425
9.8714884238,9.9111934821,8.8793399387
9.5910198185,9.7173787227,8.5677018356
10.1788362693,10.1235828462,9.22084447
9.9729256,9.9812905323,8.9920501979
9.9779847855,9.984786627,8.9976716291
10.1469613543,10.1015560351,9.1854271795
10.1253795905,10.0866421935,9.1614469557
10.0853684727,10.0589929485,9.1169892566
10.1425858902,10.0985324185,9.1805654542
10.1185001642,10.0818882412,9.1538029937
9.9939588347,9.9958253189,9.0154209326
9.6306838957,9.7447881491,8.6117739262
10.0899314934,10.062146174,9.1220593824
9.9709551182,9.9799288524,8.9898607292
9.9534125308,9.9678062394,8.9703685702
9.721963808,9.8078661332,8.7131981076
9.8966741314,9.9285977896,8.9073246257
10.0543973719,10.0375907084,9.0825762246
10.2199789285,10.1520140304,9.2665594628
9.9627425575,9.9742536522,8.9807354768
10.0490694855,10.0339089308,9.0766562307
9.971364118,9.9802114872,8.9903151827
9.7384549078,8.6029476687,8.7315219235
9.9077902814,8.7199650249,8.919676154
9.9114345495,8.7224833565,8.9237254229
9.970394579,8.7632270394,8.9892378953
10.1744525842,8.9042390901,9.21597361
10.1151628718,8.8632675833,9.1500948158
9.9518762787,8.7504301707,8.9686615888
9.9362396739,8.7396246661,8.9512872311
10.1035086727,8.8552140767,9.1371454432
10.0788141012,8.8381491633,9.1097064739
9.8596049262,8.6866670627,8.8661357847
9.8563065483,8.6843877548,8.8624708461
10.0450054207,8.8147860448,9.0721405116
10.1161058012,8.8639191844,9.1511425364
9.9610601456,8.7567765814,8.9788660923
10.1359203629,8.8776118203,9.1731591625
10.0509060462,8.8188636075,11.034429946
9.8731102351,8.6959997585,10.8368750387
10.04087577,8.8119322949,11.0232849687
9.7820525577,8.6330753474,10.7356977899
10.2330644212,8.9447421584,11.2368322448
10.3294094222,9.0113203166,11.3438844168
9.9161989373,8.7257757345,10.8847523454
9.7970538256,8.6434418094,10.7523662034
10.0811121946,8.8397372356,11.0679930137
9.957063187,8.7540145269,10.930157988
10.4035489912,9.0625536542,11.4262633862
9.9739277454,8.7656685954,10.9488967662
10.1022371568,8.8543354095,11.09146567
9.9857632,8.7738473567,10.962047538
9.8500091674,8.6800360186,10.8112066652
10.0140642594,8.793404494,10.9934937972
9.6631393629,8.5509016859,10.6035693386
10.2387903089,11.3813278874,11.2431944713
10.0078089613,11.2217107557,10.9865433251
10.3632410785,11.4673282294,11.3814759083
8.3044059958,11.2609072421,11.0495680334
8.0957510409,11.1167185198,10.8177244933
8.3282058343,11.27735386,11.0760128347
8.056297649,11.0894546851,10.7738865021
8.0000553898,11.0505890876,10.7113938358
8.2720085728,11.2385193576,11.0135701668
8.142685551,11.1491520992,10.8698750065
8.2209049755,11.2032047761,10.9567872405
8.2337954151,11.2121125734,10.9711102417
8.1169474202,11.1313660456,10.8412765034
8.1206176684,11.1339023304,10.8453546396
8.1969173067,11.1866283602,10.9301337347
8.4280683458,11.3463627554,11.1869734308
7.9525437627,11.0177566978,10.6586020685
8.325252317,11.2753128642,11.0727310822
11.7995619211,11.2435675657,11.0216872678
11.9280772848,11.3323767009,11.164485012
11.6874183814,11.1660720002,10.8970808079
11.8060864262,11.2480762535,11.0289368648
11.787971226,11.2355579427,11.0088084565
11.6454682699,11.1370828349,10.8504686277
11.9535582432,11.3499850383,11.1927977622
11.9452037809,11.3442117785,11.183514838
11.8642048141,11.2882383292,11.0935141609
12.0202608985,11.396079178,11.2669133266
11.8392590645,11.2709998421,11.0657960993
11.5162624603,11.0477965746,10.7069037058
11.640056701,11.1333432294,10.8444556515
11.5254115135,11.0541189277,10.7170695267
11.6576341407,11.1454899268,10.8639865361
