"205225_at","211233_x_at","211234_x_at","211235_s_at","211627_x_at","215551_at","215552_s_at","217163_at","217190_x_at"
"GSM150950",12.3571742498790,8.46996071269517,8.02462836581408,7.577064748886,4.14714200650146,5.03939747937069,7.26807244334639,4.64531958997882,7.13791135724179
"GSM150955",13.164704260469,8.38778949219765,8.35841461473612,7.75575827246701,4.10699515345128,5.47448562364915,7.02325064351626,4.46536967132533,6.9873798785624
"GSM150974",12.3895913394781,8.15285259634139,8.02199371808726,7.56842989705325,3.88308811362737,4.9054207312716,6.89439580244258,4.67324880407382,6.56691274782556
"GSM150983",12.5965679338727,8.74851460977183,8.65648698119176,8.0692229833615,3.83424494168996,4.97474838838328,7.40740092703157,4.73313056700564,7.5863367499701
"GSM150991",11.7926218170375,8.13075259008447,7.87016292695444,6.95661129475535,3.75533183060809,5.14212004559955,6.70470692414931,5.10536387978774,6.5560694774261
"GSM65344",12.4640524315812,8.4582235351869,8.74967195285669,8.24294172613875,3.92694304231933,5.30716139582474,7.27633143492929,4.8611496841756,7.12401853999784
"GSM65820",11.6070756763825,8.10666369959694,7.79141674747542,7.32804527538038,3.85892533276077,5.61097822313998,6.64453708758291,5.12296380666294,6.50581022213556
"GSM65824",10.1488889893484,7.41872046067941,7.64457327697709,6.65078648284138,3.82291470442349,5.23230458004506,6.32717444832673,5.01556177952366,6.0961325533743
"GSM65829",10.9861680178309,7.68369457824608,7.56996242248564,6.8481052349678,3.72940290082538,5.43321853785388,6.45015435598432,4.91909428163075,6.25176692763167
"GSM65831",12.6282795414062,8.25953194794953,7.89543486390348,7.27167190192228,3.99919317587807,6.04473434690383,7.06299141319,5.22027479785511,6.47379035843392
"GSM65832",11.6510710041608,8.19044432478765,8.04064581110711,7.32830672313795,3.91811188345407,5.2680864562707,6.51939182645939,4.81143778694851,6.33997091478882
"GSM65836",10.3036474093756,7.48622200659745,7.68914161808582,7.02361130582653,4.0603403712288,5.45789149756730,6.407821230848,5.13390762770396,6.26165335260773
"GSM65837",12.7876836350697,7.78215516348191,7.67152887523163,7.10352668479596,3.83454291583119,5.42974930037508,6.59846868726013,4.85814484002441,6.36510967223587
"GSM65839",6.20950513351441,7.11957834359541,7.20689519359714,6.7965497284016,4.0536887923026,5.32980590753623,6.0672715944634,5.06310472498755,5.99775034582861
"GSM65840",11.0998916995623,7.9080426427301,7.69620931505016,7.32684516925234,3.9164625663726,5.26899121989562,6.48465673274091,4.97145354163137,6.14095263981722
"GSM65841",6.85598539566562,7.48031077136202,7.4628842859321,6.3426979483585,3.85923667471031,5.63483704743563,6.28117265500013,5.1714950780374,6.15291823112941
"GSM65842",6.95296839656613,7.76661729180591,7.59633506153331,6.82546220356722,4.04855622717427,5.53812463200046,6.2001498424244,5.05635554905139,6.36765666809165
"GSM65843",6.80499268792559,7.28369097746461,7.56985683276939,6.42481989515769,3.87206872585923,5.19730892646577,6.14375543522062,5.00579612249063,6.15123750815564
"GSM65845",6.51966627509893,7.50816151704136,7.48261537860856,6.41414451169152,3.92458500258908,5.4697124130758,6.33160723803717,5.10620953187439,6.06943687206858
"GSM65846",8.55597036315534,7.69793134144074,7.55413442897403,6.46734190642474,3.85859647780291,5.62634123291366,6.36045144345213,5.04543345637295,6.26594418829111
