gender,height,weight,shoesize,leftrighthanded,smoker,wrist_R,wrist_L,siblings,mother_height,father_height
M,183,72,42,R,NS,17,16.6,2,170,174
M,183,68,43,R,NS,17,16,1,170,178
M,182,73,44,R,NS,18.5,18,2,168,181
M,175,66,41,L,NS,17,17,2,156,178
M,158,42,41,R,NS,14,14,2,156,178
M,179,70,47,R,S,16,16,1,150,190
F,172,61,38,L,NS ,15.3,15,2,168,186
M,185,69,44,R,NS,16.5,15,1,172,167
M,177,75,43,R,S,17,16.3,1,161,169
F,165,50,37,R,NS,15,15,3,163,175
M,186,93,45,R,S,18.6,18.7,1,176,173
F,165,53,39,R,NS,15.3,15,1,166,180
F,156,48,37,R,NS,15,"15,2",2,168,177
M,178,75,43,R,NS,17,16.8,0,175,167
F,172,49,39,R,NS,14,14,1,168,180
F,168,52,38,R,NS,14.1,13.7,1,165,185
M,183,72,42,R,NS,17,16.6,2,170,174
M,178,73,42,R,NS,18,17,1,165,168
M,183,60,43,R,NS,17,17,1,174,178
F,166,48,38,R,NS,14,14,2,158,172
M,1.77,70,45,R,NS,17,17,1,173,175
M,180,70,43,R,NS,17,17,4,160,170
M,174,69,42,R,NS,16.7,16.4,1,164,175
M,184,70,46,R,NS,17,17.5,1.5,160,175
M,168,69,43,R,S,16.5,16,1,153,176
F,176,59,39,R,NS,15,15,1,166,182
F,159,51,38,R,S,15.6,15.8,1,168,167
M,169,60,41,R,NS,15,15,1,157,168
F,164,61,38.5,R,S,15.5,15.5,1,170,178
F,150,49,35,R,NS,14.5,14.5,4,148,165
F,163,54,37.5,R,NS,15.2,14.8,3,167,164
M,181,96,44,R,NS,18.6,19.3,1,164,174
F,169,68,40,G,nS,14.3,14.5,1,161,178
M,170,65,44,R,S,15.2,15.5,1,175,178
F,160,50,34.5,R,NS,14.5,14.3,0,162,172
M,180,63,42,R,NS,14.5,14.2,2,160,182
F,165,49,38,R,NS,14,14.5,1,168,182
M,184,80,45,R,NS,17,16,2,162,175
F,170,65,40,R,NS,16,15,2,161,178
F,173,66,40,D,NS,16.5,16,1,175,185
F,165,63,39,L,NS,17.2,17.2,0,162,182
F,159,52,37,R,NS,15,15,1,157,170
M,181,65,44,L,NS,17.5,17,1,162,172
F,175,76,42,R,NS,16.6,16.8,1,161,189
F,170,58,38,R,NS,14.6,14.7,0,159,180
F,168,60,41,R,NS,14.5,14,3,173,178
F,172,62,39,R,S,14.8,14.8,1,165,185
